local_index,x,y,parent,strahler
0,0.11424099984416476,0.6289912317565448,3,1
1,0.30834093756223757,0.22225614945246894,2,1
2,0.19169180187916668,0.43412047302885326,3,2
3,0.3135175943711139,0.6075552491973889,6,2
4,0.48253266874999634,0.16645135824658364,9,1
5,0.3917798513108122,0.3787728730295212,2,1
6,0.49091336571348504,0.6148545374215292,11,2
7,0.39530288702139893,0.809399185259823,6,1
8,0.7209736665342774,0.19445096621964858,9,1
9,0.6249666160655953,0.41755402367097183,10,2
10,0.7271016499575823,0.5820662820220088,11,2
11,0.5807055387511855,0.8012275522426661,-1,3
12,0.8152859061091942,0.37063211005388713,10,1
