local_index,x,y,parent,strahler
0,0.32852039710348585,0.20757505088338177,3,1
1,0.19764783773042513,0.3810629859652116,2,1
2,0.3285529578916217,0.5977163746881449,5,2
3,0.48903424960076486,0.1777840845932933,8,1
4,0.3974287434612111,0.4324275729653162,5,1
5,0.49007661669363145,0.6231916502460806,10,2
6,0.40943603771729753,0.8086215600448444,2,1
7,0.6824141013477383,0.21435323550372376,8,1
8,0.5713416864208272,0.3806110462904019,9,2
9,0.7032395204954832,0.6295763601552399,10,2
10,0.6036986354630535,0.8294807685900814,-1,3
11,0.7958653137729056,0.43097009855485463,9,1
